Qty,Value,Device,Package,Parts,Description,MANUFACTURER,MPN,Vendor,
1,-,CONN_02,1X02,J1,"PIN HEADER, VERTICAL, NON-SHROUD
","METZ CONNECT USA Inc.
",31027102,Digikey,
1,-,CONN_06SILK_FEMALE_PTH,1X06,J5,"PIN HEADER, VERTICAL, NON-SHROUD
",TE Connectivity / AMP,31027106,Digikey,
2,-,"CONN_08"",1X08""",2x08,"J2, J4","PIN HEADER, VERTICAL, NON-SHROUD","METZ CONNECT USA Inc.","826629-8
",Mouser,
1,- ,LED5MM,LED5MM,GREEN1,LED  LED SINGLE 5MM GREEN DIFFUSED,QT Brightek (QTB),QBL8YG60D-MP7,Digikey,Digikey Alt.
1,-,LED5MM,LED5MM,RED1,LED  LED SINGLE 5MM RED DIFFUSED,QT Brightek (QTB),QBL8SA60D-MP7,Digikey,Digikey Alt.
1,5A,SCHOTTKY-DIODECB429-15,CB429-15 through hole,1N5824,"Schottky Diode   DIODE SCHOTTKY 5A 30V TOPHAT, diameter 5 mm, horizontal, grid 15.24 mm",Microsemi Corporation,1N5824,Digikey,
1,0.1uF,0.1UF- Capacitor ,Generic 1608 (0603) package,C2,Multilayer Ceramic Capacitors MLCC - SMD/SMT 50V .1uF X7R 0603 10% AEC-Q200,KEMET,"C0603C104K5RAC3121
",Mouser,
1,1.0uF,1.0UF-0603-16V-10%,Generic 1608 (0603) package,C7,Multilayer Ceramic Capacitors MLCC - SMD/SMT 16volts 1uF X7R 10%,KEMET,C0603C105K4RAC7411,Mouser,
1,10KOhm,R-US_M1406,M1406 ,R5,RES 10K OHM 0.1% 2/5W 2010,Vishay Dale,MCA12060C1002FP500,Digikey,
1,10kOhm,RES SMD 10K OHM 5% 1/10W 0603,Generic 1608 (0603),R3,"10 kOhms ±5% 0.1W, 1/10W Chip Resistor 0603 (1608 Metric) Thick Film",Yageo,RC0603JR-0710KL,DigiKey,
1,10uF,10UF-POLAR-EIA3216-16V-10%(TANT),EIA 3216 (1206),C6,"	
10µF Molded Tantalum Capacitors 16V 1206 (3216 Metric) 1.7Ohm",Vishay Sprague,TR3A106K016C1700,DigiKey,
1,16MHZ,CRYSTALHC49S,HC49/S,16MHZ,"        
16.000312MHz ±30ppm Crystal 18pF 40 Ohms HC-49/US",ECS Inc.,ECS-160.003-18-4,DigiKey,
4,1KOhm,RES SMD 1K OHM 1% 1/20W 0502,0502 (1406 Metric),"R4, R14, R15, R24","	
1 kOhms ±1% 0.05W, 1/20W Chip Resistor 0502 (1406 Metric) Military, Non-Inductive Thin Film",Vishay Dale,M55342H01B1E00RWS,Digikey,
1,1 MOhm ,1 MOhm resistor ,Generic 1608 (0603),R1,Thick Film Resistors - SMD 1M OHM 1% 1/4W TC100,Bourns,"
CMP0603-FX-1004ELF
",Mouser,
1,1N4001-TP,1N4004,"DO-204AL, DO-41, Axial",D2,"        
Diode Standard 400V 1A Through Hole DO-41","NTE Electronics, Inc","
1N4004-T",Mouser,
2,20pF,20pF capacitor SMD,Generic 1608 (0603),"C3, C4",Multilayer Ceramic Capacitors MLCC - SMD/SMT 100V 20pF C0G 0603 1% ,KEMET,"
CBR06C200F1GAC
",Mouser,
1,220uF,220uF capacitor SMD,139CLL,C5,CAP ALUM 220UF 20% 6.3V SMD,Vishay,MAL213963221E3,Digikey,
1,33uH,33uH inductor, 	4.9 mm x 4.9 mm x 2 mm ,L2,Fixed Inductors 33uH 0.43A 160ohms ,"        
Sumida","
CDPH4D19FNP-330MC
",Mouser,Digikey Alt.
3,4.7k,4.7KOHM-0603-1/10W-1%,603,"R2, R25, R26",4.7kΩ resistor,Pansonic ,ERA-3VEB4701V,Mouser,
4,4k7,RESISTOR-0402,C0402,"R18, R19, R20, R21",Resistors,Pansonic ,ERA-2VEB4701X,Mouser,
1,680uf,CPOL-US153CLV-0605,153CLV-0605,C11,"POLARIZED CAPACITOR, American symbol",Vishay,MAL215363101E3,Newark,
1,ATMEGA328P_TQFP,ATMEGA328P_TQFP,TQFP32-08,U4,Popular 328P in QFP,MicroChip ,ATMEGA328P-AU,Mouser,ATMEGA328P-AUR Microchip Technology | Integrated Circuits (ICs) | DigiKey
1,BSS138PS,BSS138PS,SOT363,T2,"BSS138 Dual N-Channel MOSFET (UGS +/-20V, RDS 1Ohm, ID 320mA)",Nexperia,"BSS138PS,115",Mouser,
1,C-GRID-02-70553,C-GRID-02-70553,70553-02,X2,CONNECTOR,Molex,70553-0036,Digikey Male,Female
1,C-GRID-04-70553,C-GRID-04-70553,70553-04,X1,CONNECTOR,Molex ,70553-0107,Digikey male,Female
1,C-GRID-07-70553,C-GRID-07-70553,70553-07,X4,CONNECTOR,Molex,70553-0036,Digikey 3pos Male,3pos Female
1,C-GRID-09-70553,C-GRID-09-70553,70553-09,X6,CONNECTOR,Molex,70553-0036,Digikey 3pos Male,3pos Female
6,Green,LED1206,LED-1206,LED2,LED GREEN CLEAR CHIP SMD,Kingbright,APT3216CGCK,Digikey,
1,ICSP,PINHD-2X3,2X03,ICSP,PIN HEADER,,,,
1,LM2596S,LM2596S,TO263-5,IC1,SIMPLE SWITCHER® Power Converter 150 kHz 3A Step-Down Voltage Regulator,LM2596SX-5.0/NOPB,LM2596S-ADJ/NOPB,Digikey,
1,MIC5205,MIC52053.3V,SOT23-5,U2,"	
IC REG LINEAR 3.3V 150MA SOT23-5","	
Microchip Technology","MIC5205-3.3YM5-TR
",Digikey,
1,NTD3055L104G,NTD3055L104G,DPAK3,MOSFET_60V_12A,"12 A, 60 V, Logic Level N−Channel",ON SEMICONDUCTOR,NTD3055L104G,Mouser,
1,POWER_JACKSUPER_BOMB_DIGITY,POWER_JACKSUPER_BOMB_DIGITY,POWER_JACK_SMD_OVERPASTE_SUPER_BOMB_DIGITY,J3,Power Jack,ADAM TECH,ADC-028-2,Sparkfun,
1,RASPI_BOARD_B+_E4P,RASPI_BOARD_B+_E4P,RASPI_BOARD_B+_EDGES_4DRILL_PAD,X5,Adafruit Accessories GPIO Header for Raspberry Pi A+/B+/Pi 2/Pi 3/Pi 4/Zero - 2x20 Female Header,Adafruit,2222,Mouser,
1,RESET,SWITCH_SPST_4_PINSQUARE,TACTILE-SWITCH-SMD,S1,Tactile Switch SPST-NO Top Actuated Surface Mount,"	
TE Connectivity ALCOSWITCH Switches",FSM6JSMATR,Digikey ,
13,TP-3x5,TEST-POINT3X5,PAD.03X.05,"TP1, TP2, TP3, TP4, TP5, TP6, TP7, TP8, TP10, TP11, TP12, TP15, TP16",SparkFun Test Points,-,-,-,